4-qubit,6-qubit,8-qubit,10-qubit
0.07941696748197341,0.09858716204669195,0.3715710349763637,0.42522728723954856
0.17339857746351556,0.09175319125230644,0.3413151929678267,0.3552345647647885
0.14101737607592063,0.02821665123224518,0.1622113163455488,0.26106794596559496
0.32815821498609843,0.23159681199534357,0.35571754433787617,0.4132038219290446
0.2889271137349651,0.2783991418141353,0.23100151727796045,0.20943562065832924
0.3121259053071101,0.17395018305184348,0.6191853932819464,0.5018120095352513
0.4020177419330518,0.1923802167141773,0.25388704182343125,0.26179780444682876
0.3408905856696316,0.2522318867797665,0.3925826990293004,0.30893761256495306
0.3322512256615664,0.26387303687520336,0.29007245687898175,0.29398474326323104
0.4585179782655714,0.22656787176938362,0.27566884781145284,0.29156778162508973
0.4137860103001037,0.2679997660161113,0.21745387679283557,0.1683732452906883
