4-qubit,6-qubit,8-qubit,10-qubit
0.014082638483940181,0.010329932405220434,0.006583490727205005,0.004327419134777616
0.009628358523426995,0.003727622919468319,0.001996825021999907,0.001364897035012806
0.0066912870944067105,0.002930569813799388,0.0012474395185223838,0.0008321810665511211
0.004935290832195559,0.002217518649496713,0.0008286609579078481,0.00041756699580732426
0.0052162231012579195,0.0010327893639619711,0.0005276147792070679,0.00023027818232900318
0.004153770222581079,0.0008723971433002129,0.0003241231355574553,0.0001364657223112629
0.003974075362634494,0.0006556539572181849,0.00022612627276594085,9.280322782813286e-05
0.004083051080804907,0.0006718234709217622,0.00017148770517415923,5.214291391698134e-05
0.003985847536257449,0.0005813200576439939,9.235259451650695e-05,3.833803590680047e-05
0.004233253605727062,0.0004009035389095636,7.770902923015613e-05,2.369932101592459e-05
0.003859821316050043,0.0004557150818642641,6.150348138081106e-05,1.3051473105668397e-05
